GEOID20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,STATEFP,STATE
01001,58805,12266,1960,1298,1162,537,41582,01,AL
01003,231767,20913,12219,3476,5970,2694,186495,01,AL
01005,25223,12261,1394,134,237,111,11086,01,AL
01007,22293,4643,695,50,339,124,16442,01,AL
01009,59134,1250,5732,359,1514,515,49764,01,AL
01011,10357,7492,489,21,33,41,2281,01,AL
01013,19051,8742,204,187,158,81,9679,01,AL
01015,116441,27445,4619,1762,2284,812,79519,01,AL
01017,34772,14009,1120,459,362,206,18616,01,AL
01019,24971,1219,389,91,566,143,22563,01,AL
01021,45014,4537,4349,256,690,304,34878,01,AL
01023,12665,5358,92,38,93,45,7039,01,AL
01025,23087,10514,165,121,231,86,11970,01,AL
01027,14236,2204,408,62,237,64,11261,01,AL
01029,15056,556,275,45,374,66,13740,01,AL
01031,53465,9834,4564,1439,1380,489,35759,01,AL
01033,57227,10135,1640,566,1232,413,43241,01,AL
01035,11597,5236,241,60,185,40,5835,01,AL
01037,10387,3168,186,26,138,62,6807,01,AL
01039,37570,5088,585,317,709,214,30657,01,AL
01041,13194,3360,159,119,159,64,9333,01,AL
01043,87866,1408,4089,845,2459,767,78298,01,AL
01045,49326,11239,2962,1034,998,491,32602,01,AL
01047,38462,27497,177,174,163,88,10363,01,AL
01049,71608,1595,11646,387,3025,426,54529,01,AL
01051,87977,19305,2586,1078,1704,764,62540,01,AL
01053,36757,11571,669,196,2136,181,22004,01,AL
01055,103436,16762,4637,1218,2321,767,77731,01,AL
01057,16321,1961,376,81,270,81,13552,01,AL
01059,32113,1475,6195,117,566,179,23581,01,AL
01061,26659,2727,1231,154,708,185,21654,01,AL
01063,7730,6354,41,17,18,15,1285,01,AL
01065,14785,8533,110,52,79,39,5972,01,AL
01067,17146,4445,311,142,287,119,11842,01,AL
01069,107202,30210,4170,1827,1959,785,68251,01,AL
01071,52579,2181,1650,333,2907,385,45123,01,AL
01073,674721,289515,32855,16114,7832,4153,324252,01,AL
01075,13972,1623,192,24,141,68,11924,01,AL
01077,93564,10460,2925,1105,1986,597,76491,01,AL
01079,33073,3672,859,180,3436,212,24714,01,AL
01081,174241,42011,8580,9962,2583,1310,109795,01,AL
01083,103570,14937,6946,2666,2450,879,75692,01,AL
01085,10311,7336,86,31,41,10,2807,01,AL
01087,19532,15792,287,95,112,59,3187,01,AL
01089,388153,99875,22791,14643,9484,3863,237497,01,AL
01091,19323,10400,295,67,101,85,8375,01,AL
01093,29341,1453,831,157,638,169,26093,01,AL
01095,97612,3286,15439,1011,2543,667,74666,01,AL
01097,414809,152471,12063,10477,9841,3254,226703,01,AL
01099,19772,8541,142,127,536,92,10334,01,AL
01101,228954,134029,9672,8972,1665,1262,73354,01,AL
01103,123421,17197,12097,1455,3348,1086,88238,01,AL
01105,8511,6050,50,25,31,10,2345,01,AL
01107,19123,7718,1005,102,178,54,10066,01,AL
01109,33009,12707,801,720,566,179,18036,01,AL
01111,21967,4118,590,124,350,156,16629,01,AL
01113,59183,27708,2654,829,833,480,26679,01,AL
